GenAge ID	name	symbol	organism	functions	Entrez gene id	avg lifespan change (max obsv)	lifespan effect	longevity influence	observations
6	adenylate cyclase 5	Adcy5	Mus musculus	Synthesis of cAMP	224129	30	Increase	Anti-Longevity	anti;;;5;15998808
13	Rho GTPase activating protein 1	Arhgap1	Mus musculus	Regulation of actin cytoskeleton organization, polarity, and growth	228359		Decrease	Pro-Longevity	anti;20.0;;12;17608836
15	aryl hydrocarbon receptor nuclear translocator-like	Arntl	Mus musculus	Appears to be involved in circadian rhythyms	11865		Decrease	Pro-Longevity	pro;;;14;18006689
24	Ataxia telangiectasia mutated homolog (human)	Atm	Mus musculus	DNA repair and cell cycle control	11920		Decrease	Pro-Longevity	pro;;;23;17912023|pro;;;23;17912023|pro;;;23;17912023|pro;;;23;17912023
30	Ataxia telangiectasia and Rad3 related	Atr	Mus musculus	DNA repair and cell cycle control	245000		Decrease	Pro-Longevity	pro;;;29;12242224|pro;;;29;12242224
40	Bcl2-associated X protein	Bax	Mus musculus	Apoptosis	12028		Increase	Unannotated	pro;45.0;35.0;39;15905404
48	Breast cancer 1	Brca1	Mus musculus	Maintenance of genomic stability	12189		Decrease	Pro-Longevity	pro;25.0;;47;17900898|pro;25.0;;47;17900898
51	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	Bub3	Mus musculus	Kinase involved in the spindle checkpoint function	12237	12	Decrease	Pro-Longevity	pro;;;50;15208629
90	caspase 2	Casp2	Mus musculus	Apoptosis	12366		Decrease	Pro-Longevity	pro;;30.0;89;17435236
92	Catalase	Cat	Mus musculus	Protects cells from hydrogen peroxide	12359	21	Increase	Pro-Longevity	pro;33.0;;91;8108730|pro;33.0;;91;8108730
93	caveolin, caveolae protein 1	Cav1	Mus musculus	Component of caveolae membranes in nonmuscle cells	12389	50	Decrease	Pro-Longevity	pro;20.0;;92;15879174
109	Cyclin-dependent kinase inhibitor 1A	Cdkn1a	Mus musculus	Cell cycle	12575		Increase	Anti-Longevity	pro;33.0;;108;17368005
110	CCAAT/enhancer binding protein (C/EBP), alpha	Cebpa	Mus musculus	Transcription factor involved in fat metabolism	12606		Increase	Unannotated	anti;;;109;17143283
111	CCAAT/enhancer binding protein (C/EBP), beta	Cebpb	Mus musculus	Transcription factor involved in fat metabolism	12608		Increase	Unannotated	;;;110;15289464
122	CHK2 checkpoint homolog (S. pombe)	Chek2	Mus musculus	Cell cycle checkpoint regulator	50883		Decrease	Pro-Longevity	anti;100.0;;121;10617200
136	demethyl-Q 7	Coq7	Mus musculus	Ubiquinone (coenzyme Q, CoQ) biosynthesis	12850	30	Increase	Anti-Longevity	anti;;;135;15998808
209	Epidermal growth factor-containing fibulin-like extracellular matrix protein 1	Efemp1	Mus musculus	Extracellular matrix (ECM) protein of unknown function	216616	20	Decrease	Pro-Longevity	pro;41.0;;207;2508089
222	Excision repair cross-complementing rodent repair deficiency, complementation group 2	Ercc2	Mus musculus	Helicase involved in DNA repair and condensation	13871		Decrease	Pro-Longevity	anti;20.0;;220;17608836
223	Excision repair cross-complementing rodent repair deficiency, complementation group 4	Ercc4	Mus musculus	Involved in DNA repair	50505		Decrease	Pro-Longevity	pro;;;221;11950998
282	Fibroblast growth factor 23	Fgf23	Mus musculus		64654		Decrease	Pro-Longevity	pro;;;279;17392428|pro;;;279;17392428
