GenAge ID,name,symbol,organism,functions,Entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence,observations
1,AMP-Activated Kinase,aak-2,Caenorhabditis elegans,Energy sensor and signal transduction,181727,54,Decrease,Pro-Longevity,pro;47.0;35.0;2305;22737090|pro;47.0;35.0;2305;22737090
2,Amino Acid Transporter,aat-8,Caenorhabditis elegans,Amino acid transporter,185079,30,Increase,Anti-Longevity,pro;12.0;;1;15574588
3,Activated in Blocked Unfolded protein response,abu-11,Caenorhabditis elegans,Involved in endoplasmic reticulum stress response to unfolded proteins,173404,28,Increase,Pro-Longevity,anti;30.0;;2;17608836
4,ACyLtransferase-like,acl-11,Caenorhabditis elegans,Lysophosphatidic acid acyltransferase LPAAT and related acyltransferase,185044,,Increase,Anti-Longevity,pro;28.0;;3;16256736
5,ACOnitase,aco-2,Caenorhabditis elegans,"Required for embryonic viability, fertility, locomotion, and vulval morphogenesis",176121,,Increase,Anti-Longevity,anti;;;4;12447374|anti;;;4;12447374
6,adenylate cyclase 5,Adcy5,Mus musculus,Synthesis of cAMP,224129,30,Increase,Anti-Longevity,anti;;;5;15998808
7,"AGEing alteration AGE-1, abnormal DAuer Formation DAF-23",age-1,Caenorhabditis elegans,Phosphoinositide-3-kinase,174762,1000,Increase,Anti-Longevity,anti;30.0;12.0;6;17662940|anti;30.0;12.0;6;17662940|anti;30.0;12.0;6;17662940|anti;30.0;12.0;6;17662940|anti;30.0;12.0;6;17662940
8,high-Affinity Glutamine Permease,AGP1,Saccharomyces cerevisiae,Amino acid transport,850333,,Increase,Anti-Longevity,anti;65.0;110.0;7;8608934
9,ALG-1 INteracting protein,ain-1,Caenorhabditis elegans,Cellular transport,181719,10,Decrease,Pro-Longevity,anti;;;8;16418483
10,AKT kinase family,akt-1,Caenorhabditis elegans,Signal transduction,179424,,Increase,Anti-Longevity,pro;10.0;;9;18006689|pro;10.0;;9;18006689
11,Argonaute (plant)-Like Gene,alg-2,Caenorhabditis elegans,Post-transcriptional gene silencing,173468,24,Decrease,Pro-Longevity,anti;;;10;15998808
12,AMmonium Transporter homolog,amt-2,Caenorhabditis elegans,Ammonium transporter,186047,20,Increase,Anti-Longevity,pro;24.0;;11;18006689
13,Rho GTPase activating protein 1,Arhgap1,Mus musculus,"Regulation of actin cytoskeleton organization, polarity, and growth",228359,,Decrease,Pro-Longevity,anti;20.0;;12;17608836
14,ARF-Like,arl-8,Caenorhabditis elegans,ADP-ribosylation factor-like protein,178405,,Decrease,Pro-Longevity,pro;;;13;17227869
15,aryl hydrocarbon receptor nuclear translocator-like,Arntl,Mus musculus,Appears to be involved in circadian rhythyms,11865,,Decrease,Pro-Longevity,pro;;;14;18006689
16,ARp2/3 compleX component,arx-4,Caenorhabditis elegans,Actin-related protein,175247,,Decrease,Pro-Longevity,pro;;;15;16847346
17,ATP Synthase B homolog,asb-2,Caenorhabditis elegans,"Mitochondrial F1F0-ATP synthase, subunit b/ATP4",180718,,Increase,Anti-Longevity,pro;;;16;18006689
18,ATP Synthase G homolog,asg-1,Caenorhabditis elegans,Homolog of ATP synthase G required for growth at a normally high rate and normal osmoregulation,172673,,Increase,Anti-Longevity,anti;;;17;16103914
19,ATP synthase subunit,asg-2,Caenorhabditis elegans,,180956,,Increase,Anti-Longevity,anti;;;18;15998808
